Part Number,Finish,Length,Units,List Price,Page Number(s)
AS-1718,Paint,24’ - 0”,1 pc.,755,"D2-10, D5-14"
AS-1720,Clear,24’ - 0”,1 pc.,615,"D2-10, D5-14"
AS-1720,Bronze,24’ - 0”,1 pc.,671,"D2-10, D5-14"
AS-1720,Paint,24’ - 0”,1 pc.,744,"D2-10, D5-14"
AS-1796,Clear,24’ - 0”,1 pc.,882,"D2-11, D5-15"
AS-1796,Bronze,24’ - 0”,1 pc.,897,"D2-11, D5-15"
AS-1796,Paint,24’ - 0”,1 pc.,1026,"D2-11, D5-15"
AS-2422,Clear,24’ - 0”,1 pc.,402,D4-4
AS-2422,Bronze,24’ - 0”,1 pc.,437,D4-4
AS-2422,Paint,24’ - 0”,1 pc.,536,D4-4
AS-2590,Clear,22’ - 0”,1 pc.,782,C3-15
AS-2590,Bronze,22’ - 0”,1 pc.,800,C3-15
AS-2590,Paint,22’ - 0”,1 pc.,935,C3-15
AS-2591,Clear,24’ - 0”,1 pc.,720,C3-15
AS-2591,Bronze,24’ - 0”,1 pc.,740,C3-15
AS-2591,Paint,24’ - 0”,1 pc.,971,C3-15
AS-2807,Clear,24’ - 0”,1 pc.,698,D6-11
AS-2807,Bronze,24’ - 0”,1 pc.,728,D6-11
,,,,,
Index-52,,,,,
"Effective Date: May 2, 2025",,,,,
"Part Number                  Finish             Length              Units               List Price         Page Number(s)
or Pkg                per Unit",,,,,
AS-2807,Paint,,1 pc.,830,D6-11
AS-2808,Bronze,,1 pc.,443,D6-11
AS-2808,Clear,,1 pc.,444,D6-11
AS-2808,Paint,,1 pc.,992,D6-11
AS-2810,Bronze,,1 pc.,425,D6-11
AS-2810,Clear,,1 pc.,426,D6-11
AS-2810,Paint,,1 pc.,948,D6-11
AS-2881,Clear,,1 pc.,887,"D2-11, D5-15"
AS-2881,Bronze,,1 pc.,902,"D2-11, D5-15"
AS-2881,Paint,,1 pc.,1035,"D2-11, D5-15"
AS-2960,Clear,,1 pc.,902,C4-11
AS-2960,Bronze,,1 pc.,926,C4-11
AS-2960,Paint,,1 pc.,1164,C4-11
AS-2961,Clear,,1 pc.,1035,C4-11
AS-2961,Bronze,,1 pc.,1052,C4-11
AS-2961,Paint,,1 pc.,1208,C4-11
AS-3172,Mill,,1 pc.,225,"F2-10, F3-2"
AS-3173,Mill,,1 pc.,213,"F2-3, F3-2"
AS-3175,Mill,,1 pc.,468,F2-10
AS-3177,Mill,,1 pc.,438,F2-3
AS-3178,Mill,,1 pc.,278,"F2-10, F3-2"
AS-3179,Mill,,1 pc.,275,"F2-3, F3-2"
AS-3180,Clear,,1 pc.,372,"F4-3, F5-4"
AS-3180,Bronze,,1 pc.,392,"F4-3, F5-4"
AS-3180,Clear,,1 pc.,396,F3-11
AS-3180,Bronze,,1 pc.,416,F3-11
AS-3180,Paint,,1 pc.,540,"F4-3, F5-4"
AS-3180,Paint,,1 pc.,566,F3-11
AS-3181,Clear,,1 pc.,570,F4-3
AS-3181,Bronze,,1 pc.,590,F4-3
AS-3181,Paint,,1 pc.,795,F4-3
AS-3515,Mill,,1 pc.,276,E2-14
AS-3526,Mill,,1 pc.,213,E2-14
AS-3529,Mill,,1 pc.,236,E2-14
AS-3532,Clear,,1 pc.,363,E2-13
